Authors	Year	Title	Journal	DOI	Oases	lat	long	Country	Reviewer
Houria Abdelbakia, Abdeldjalil Belkendilb, Abdelhak Maazouzia, Abderrahmane Mekkaoui	2022	Assessment of hydrochemical properties of groundwater in the alluvialaquifer of the arid zone of the Igli Region, South-West of Algeria	Desalination and Water Treatment	10.5004/dwt.2022.28709	Igli	30.446697	-2.282433	Algeria	MF
Djihed Berkouk , Tallal Abdel Karim Bouzir, Samiha Boucherit, Sara Khelil, Chafik Mahaya, Mohamed Elhadi Matallah, Said Mazouz	2022	Exploring the Multisensory Interaction between Luminous, Thermal and Auditory Environments through the Spatial Promenade Experience: A Case Study of a University Campus in an Oasis Settlement	sustainability	10.3390/su14074013	Biskra oasis	34.833333	5.75	Algeria	JAHA
Peter C. Chu, Shihua Lu, Yuchun Chen	2005	A numerical modeling study on desert oasis self-supporting mechanisms	Journal of Hydrology	10.1016/j.jhydrol.2005.02.043	Ahreme	25.454826	8.4198	Algeria	JAHA
Nacima Deghiche-Diab, Hani Amir Aouissi, Tesnim Deghiche	2022	First record of the sawfly Athalia cornubiae Benson, 1931 (Hymenoptera: Tenthredinidae) in the oasis of Ziban	Journal of Ecology	10.1111/aje.13067	El Hadjeb	34.806146	5.654864	Algeria	MF
Mohammed Faci	2019	Typology and varietal biodiversity of date palm farms in the North-East of Algerian Sahara	Journal of Taibah University for Science	10.1080/16583655.2019.1633006	Ouargla oasis	31.966667	5.333333	Algeria	JAHA
 Omar Guezoul, Haroun Chenchouni, Makhlouf Sekour, Labed Ababsa, Karim Souttou, Salaheddine Doumandji 	2013	An avifaunal survey of mesic manmade ecosystems ‘‘Oases’’ in algerian hot-hyperarid lands	Saudi Journal of Biological Sciences	10.1016/j.sjbs.2012.10.001	Oued Souf oasis	33.365293	6.854822	Algeria	JAHA
 Omar Guezoul, Haroun Chenchouni, Makhlouf Sekour, Labed Ababsa, Karim Souttou, Salaheddine Doumandji 	2013	An avifaunal survey of mesic manmade ecosystems ‘‘Oases’’ in algerian hot-hyperarid lands	Saudi Journal of Biological Sciences	10.1016/j.sjbs.2012.10.001	Ouargla oasis	31.966667	5.333333	Algeria	JAHA
 Omar Guezoul, Haroun Chenchouni, Makhlouf Sekour, Labed Ababsa, Karim Souttou, Salaheddine Doumandji 	2013	An avifaunal survey of mesic manmade ecosystems ‘‘Oases’’ in algerian hot-hyperarid lands	Saudi Journal of Biological Sciences	10.1016/j.sjbs.2012.10.001	Biskra oasis	34.833333	5.75	Algeria	JAHA
Hamza Harkat, Ratiba Bousba, Cinzia Benincasa , Kamel Atrouz , Mine Gültekin- zgüven, mit Altuntas, Evren Demircan, Hamdy A. Zahran, Beraatz elik	2022	Assessment of Biochemical Composition and Antioxidant Properties of Algerian Date Palm (Phoenix dactylifera L.) Seed Oil	plants	10.3390/plants11030381	Biskra oasis	34.833333	5.75	Algeria	JAHA
Mohamed Elhadi Matallah , Djamel Alkama, Atef Ahriz, Shady Attia	2020	Assessment of the Outdoor Thermal Comfort in Oases Settlements	atmosphere	10.3390/atmos11020185	Tolga	34.716667	5.383333	Algeria	JAHA
Mohamed Elhadi Matallah , Hicham Fawzi Arrar, Mohammed Faci , Waqas Ahmed Mahar ,Fatima Zahra Ben Ratmia, Shady Attia	2022	Assessment of Human Outdoor Thermal Comfort in a Palm Grove during the Date Palm Phenological Cycle	atmosphere	10.3390/atmos13030379	Tolga	34.746265	5.384097	Algeria	JAHA
Abdelhamid Moussi, Abderrahmane Abba , Abboud Harrat  & Daniel Petit 	2011	Desert acridian fauna (Orthoptera, Acridomorpha): Comparison between steppic and oasian habitats in Algeria	Comptes Rendus Biologies	10.1016/j.crvi.2010.12.001	Oued Djedi Wadi in Zab El-Guebli	34.6327	5.482323	Algeria	JAHA
Sabrina Oumata, Philippe Monneveux, Maria Zaharieva, Leila Mekliche-Hanifi & Jacques David 	2022	Variation of morphological traits among wheat (Triticum aestivum L.) landraces from two regions of the Algerian Sahara. Potential interest for wheat breeding	Genetic Resources and Crop Evolution	10.1007/s10722-022-01429-z	Adrar	27.859014	-0.30248	Algeria	MF
Sabrina Oumata, Philippe Monneveux, Maria Zaharieva, Leila Mekliche-Hanifi & Jacques David 	2022	Variation of morphological traits among wheat (Triticum aestivum L.) landraces from two regions of the Algerian Sahara. Potential interest for wheat breeding	Genetic Resources and Crop Evolution	10.1007/s10722-022-01429-z	Bouda	27.963173	-0.433162	Algeria	MF
Sabrina Oumata, Philippe Monneveux, Maria Zaharieva, Leila Mekliche-Hanifi & Jacques David 	2022	Variation of morphological traits among wheat (Triticum aestivum L.) landraces from two regions of the Algerian Sahara. Potential interest for wheat breeding	Genetic Resources and Crop Evolution	10.1007/s10722-022-01429-z	Timmi	27.81967	-0.293595	Algeria	MF
Sabrina Oumata, Philippe Monneveux, Maria Zaharieva, Leila Mekliche-Hanifi & Jacques David 	2022	Variation of morphological traits among wheat (Triticum aestivum L.) landraces from two regions of the Algerian Sahara. Potential interest for wheat breeding	Genetic Resources and Crop Evolution	10.1007/s10722-022-01429-z	Tamantit	27.716981	-0.27696	Algeria	MF
Sabrina Oumata, Philippe Monneveux, Maria Zaharieva, Leila Mekliche-Hanifi & Jacques David 	2022	Variation of morphological traits among wheat (Triticum aestivum L.) landraces from two regions of the Algerian Sahara. Potential interest for wheat breeding	Genetic Resources and Crop Evolution	10.1007/s10722-022-01429-z	Tsabit	28.34965	-0.227575	Algeria	MF
Sabrina Oumata, Philippe Monneveux, Maria Zaharieva, Leila Mekliche-Hanifi & Jacques David 	2022	Variation of morphological traits among wheat (Triticum aestivum L.) landraces from two regions of the Algerian Sahara. Potential interest for wheat breeding	Genetic Resources and Crop Evolution	10.1007/s10722-022-01429-z	Timimoun	29.265622	0.222565	Algeria	MF
Sabrina Oumata, Philippe Monneveux, Maria Zaharieva, Leila Mekliche-Hanifi & Jacques David 	2022	Variation of morphological traits among wheat (Triticum aestivum L.) landraces from two regions of the Algerian Sahara. Potential interest for wheat breeding	Genetic Resources and Crop Evolution	10.1007/s10722-022-01429-z	Abalessa	22.888965	4.851074	Algeria	MF
Sabrina Oumata, Philippe Monneveux, Maria Zaharieva, Leila Mekliche-Hanifi & Jacques David 	2022	Variation of morphological traits among wheat (Triticum aestivum L.) landraces from two regions of the Algerian Sahara. Potential interest for wheat breeding	Genetic Resources and Crop Evolution	10.1007/s10722-022-01429-z	Ideles	23.819778	5.931547	Algeria	MF
Sabrina Oumata, Philippe Monneveux, Maria Zaharieva, Leila Mekliche-Hanifi & Jacques David 	2022	Variation of morphological traits among wheat (Triticum aestivum L.) landraces from two regions of the Algerian Sahara. Potential interest for wheat breeding	Genetic Resources and Crop Evolution	10.1007/s10722-022-01429-z	In Amguel	23.694269	5.152646	Algeria	MF
Sabrina Oumata, Philippe Monneveux, Maria Zaharieva, Leila Mekliche-Hanifi & Jacques David 	2022	Variation of morphological traits among wheat (Triticum aestivum L.) landraces from two regions of the Algerian Sahara. Potential interest for wheat breeding	Genetic Resources and Crop Evolution	10.1007/s10722-022-01429-z	Tamanrasse	22.782985	5.531405	Algeria	MF
Insaf Sadraoui-Ajmi,NejibBenali, Abir Soltani, Samira Chaib, Essia Limem, Slim Jallouli, Emna Boushih, Abdallah Fajraoui,Jouda Mediouni-Ben Jemaa	2021	Usage of agricultural DAPfertilizer and Eucalyptus essential oils as potential attractants against the Mediterranean fruit fly Ceratitis capitata (Tephritidae)	proceedings	10.1016/j.aspen.2021.101857	Gafsa	34.406361	8.769304	Tunisia	JAHA
Mohamed K. AbdelGawad, Gebely A. Abu El-Kheir, Walid G. Kassab	2021	The youngest records of mosasaurid reptiles from the Upper Cretaceous of the South-Western Desert in Egypt	Proceedings of the Geologists’ Association	10.1016/j.pgeola.2021.07.004	Dakhla oasis	25.608174	28.916796	Egypt	JAHA
Abdelkader Abdellaoui, Mostafia Boughalem, Noureddine Boudjeltia	2021	Salt deposits in oasian environments: the evolution of Oum Rneb sebkha (Ouargla, Algeria)	Arabian Journal of Geosciences	10.1007/s12517-021-06728-w	Oum Rneb	32.064395	5.343815	Algeria	JAHA
Miyassa M Aci, Pedro Revilla, Abdelkader Morsli, Abderrahmane Djemel, Nawal Belalia, Yasser Kadri, Majda Khelifi-Saloui, Bernardo Ordás, Lakhdar Khelifi	2013	Genetic diversity in Algerian maize (Zea mays L) landraces using SSR markers	Maydica		El M'Ghair	33.96487	5.934419	Algeria	JAHA
Miyassa M Aci, Pedro Revilla, Abdelkader Morsli, Abderrahmane Djemel, Nawal Belalia, Yasser Kadri, Majda Khelifi-Saloui, Bernardo Ordás, Lakhdar Khelifi	2013	Genetic diversity in Algerian maize (Zea mays L) landraces using SSR markers	Maydica		Beni-abbes	30.124229	-2.171951	Algeria	JAHA
Miyassa M Aci, Pedro Revilla, Abdelkader Morsli, Abderrahmane Djemel, Nawal Belalia, Yasser Kadri, Majda Khelifi-Saloui, Bernardo Ordás, Lakhdar Khelifi	2013	Genetic diversity in Algerian maize (Zea mays L) landraces using SSR markers	Maydica		Timimoun	29.265622	0.222565	Algeria	JAHA
Miyassa M Aci, Pedro Revilla, Abdelkader Morsli, Abderrahmane Djemel, Nawal Belalia, Yasser Kadri, Majda Khelifi-Saloui, Bernardo Ordás, Lakhdar Khelifi	2013	Genetic diversity in Algerian maize (Zea mays L) landraces using SSR markers	Maydica		El Golea	30.575367	2.891121	Algeria	JAHA
Miyassa M Aci, Pedro Revilla, Abdelkader Morsli, Abderrahmane Djemel, Nawal Belalia, Yasser Kadri, Majda Khelifi-Saloui, Bernardo Ordás, Lakhdar Khelifi	2013	Genetic diversity in Algerian maize (Zea mays L) landraces using SSR markers	Maydica		Ouled Said	29.419008	0.242616	Algeria	JAHA
Miyassa M Aci, Pedro Revilla, Abdelkader Morsli, Abderrahmane Djemel, Nawal Belalia, Yasser Kadri, Majda Khelifi-Saloui, Bernardo Ordás, Lakhdar Khelifi	2013	Genetic diversity in Algerian maize (Zea mays L) landraces using SSR markers	Maydica		Timmi	27.766916	-0.260203	Algeria	JAHA
Miyassa M Aci, Pedro Revilla, Abdelkader Morsli, Abderrahmane Djemel, Nawal Belalia, Yasser Kadri, Majda Khelifi-Saloui, Bernardo Ordás, Lakhdar Khelifi	2013	Genetic diversity in Algerian maize (Zea mays L) landraces using SSR markers	Maydica		Taourit	27.859014	-0.30248	Algeria	JAHA
Miyassa M Aci, Pedro Revilla, Abdelkader Morsli, Abderrahmane Djemel, Nawal Belalia, Yasser Kadri, Majda Khelifi-Saloui, Bernardo Ordás, Lakhdar Khelifi	2013	Genetic diversity in Algerian maize (Zea mays L) landraces using SSR markers	Maydica		Ouled Mahmoude	28.597186	0.039593	Algeria	JAHA
Miyassa M Aci, Pedro Revilla, Abdelkader Morsli, Abderrahmane Djemel, Nawal Belalia, Yasser Kadri, Majda Khelifi-Saloui, Bernardo Ordás, Lakhdar Khelifi	2013	Genetic diversity in Algerian maize (Zea mays L) landraces using SSR markers	Maydica		Tamanrasset	22.782985	5.531405	Algeria	JAHA
Miyassa Meriem Aci, Antonio Lupini, Antonio Mauceri, Abdelkader Morsli, Lakhdar Khelifi, Francesco Sunseri	2018	Genetic variation and structure of maize populations from Saoura and Gourara oasis in Algerian Sahara	BMC Genetics	10.1186/s12863-018-0655-2	Saoura	29.456133	-1.428377	Algeria	JAHA
Miyassa Meriem Aci, Antonio Lupini, Antonio Mauceri, Abdelkader Morsli, Lakhdar Khelifi, Francesco Sunseri	2018	Genetic variation and structure of maize populations from Saoura and Gourara oasis in Algerian Sahara	BMC Genetics	10.1186/s12863-018-0655-2	Gourara	29.262031	0.218904	Algeria	JAHA
Ala-Eddine ADAMOU, Mohamed KOUIDRI, Yassine CHABI, Joanna SKWARSKA, Jerzy BAŃBURA	2009	Egg size variation and breeding characteristics of the Black-winged Stilt Himantopus himantopus in a Saharan oasis	Acta Ornithologica	10.3161/000164509X464821	Chott Ain El Beida	32.339858	5.425384	Algeria	JAHA
Ala-Eddine Adamou, Rabie Tabib , Mohamed Kouidri , Mohamed Laïd Ouakid , Michał Gla˛dalski , Anna Ba nbura , Jerzy Ba nbura	2017	Inter-annual variation in clutch size and laying date of Rufous Bush Chats Cercotrichas galactotes inhabiting an Algerian oasis	Journal of Arid Environments	10.1016/j.jaridenv.2017.01.013	"Al Amri oasis
"	34.704974	5.322896	Algeria	JAHA
Ala-Eddine Adamoua, Rabie Tabib, Mohamed Kouidri, Mohamed Laïd Ouakid, Michał Glądalski, Jerzy Bańburad	2018	Egg size and shape variation in Rufous Bush Chats Cercotrichas galactotes breeding in date palm plantations: hatching success increases with egg elongation	Avian Biology Research	10.3184/175815618X1520281116334	"Al Amri oasis
"	34.704974	5.322896	Algeria	JAHA
Boudjemaa Agoudjil,, Adel Benchabane, Abderrahim Boudenne, Laurent Ibos, Magali Fois	2011	Renewable materials to reduce building heat loss: Characterization of date palm wood	Energy and Buildings	10.1016/j.enbuild.2010.10.014	Mekhadma	34.645139	5.489587	Algeria	JAHA
N. Baba Aissa, S.E. Doumandji, M.J. Ebejer	2017	First records of Aphaniosoma Becker (Diptera: Chyromyidae) from Algeria	African Entomology	10.4001/003.025.0481	Guerrera	32.781166	4.497288	Algeria	JAHA
N. Baba Aissa, S.E. Doumandji, M.J. Ebejer	2017	First records of Aphaniosoma Becker (Diptera: Chyromyidae) from Algeria	African Entomology	10.4001/003.025.0481	Zelfana	32.39447	4.211059	Algeria	JAHA
N. Baba Aissa, S.E. Doumandji, M.J. Ebejer	2017	First records of Aphaniosoma Becker (Diptera: Chyromyidae) from Algeria	African Entomology	10.4001/003.025.0481	Tadjnint	32.4406	3.740492	Algeria	JAHA
N. Baba Aissa, S.E. Doumandji, M.J. Ebejer	2017	First records of Aphaniosoma Becker (Diptera: Chyromyidae) from Algeria	African Entomology	10.4001/003.025.0481	Ghardaia	32.50216	3.642881	Algeria	JAHA
Abdelkader ALLAM, Hamid CHELOUFI	2013	Biodiversity of fruit species in the valley of Oued Righ: the case of the area of Touggourt (Algeria)	Fruits	10.1051/fruits/2012048	Nezla	33.063936	6.062704	Algeria	JAHA
Abdelkader ALLAM, Hamid CHELOUFI	2013	Biodiversity of fruit species in the valley of Oued Righ: the case of the area of Touggourt (Algeria)	Fruits	10.1051/fruits/2012048	Tebesbest	33.115116	6.099457	Algeria	JAHA
Abdelkader ALLAM, Hamid CHELOUFI	2013	Biodiversity of fruit species in the valley of Oued Righ: the case of the area of Touggourt (Algeria)	Fruits	10.1051/fruits/2012048	Zaouia 	33.146087	6.092864	Algeria	JAHA
Souad Baba Arbi, Djamel Chekireb, Paola Quatrini, Valentina Catania, Dahbia Cheriet, Akila Ouartsi1	2015	Phenotypic and genotypic characterization of root nodules rhizobia of Medicago littoralis Rhode and Melilotus indicus (L.) All. growing in the Oasis of Touggourt, Oued Righ Valley, in the Algerian Sahara	Symbiosis	10.1007/s13199-015-0336-0	Touggourt	33.114837	6.091385	Algeria	JAHA
Yahia Bakelli, Abdelhamid Kaabeche	2019	Optimal size of photovoltaic pumping system using nature‐ inspired algorithms	International Journal of Zoology and Research	10.1002/2050-7038.12045	Ghardaia	32.50216	3.642881	Algeria	JAHA
Catia Balducci , Riad Ladji, Valeria Muto, Paola Romagnoli, Nourredine Yassaa, Angelo Cecinato	2014	Biogenic and anthropogenic organic components of Saharan sands	Chemosphere	10.1016/j.chemosphere.2014.02.069	Biskra oasis	34.833333	5.75	Algeria	JAHA
Catia Balducci , Riad Ladji, Valeria Muto, Paola Romagnoli, Nourredine Yassaa, Angelo Cecinato	2014	Biogenic and anthropogenic organic components of Saharan sands	Chemosphere	10.1016/j.chemosphere.2014.02.069	"Al Amri oasis
"	34.704974	5.322896	Algeria	JAHA
Catia Balducci , Riad Ladji, Valeria Muto, Paola Romagnoli, Nourredine Yassaa, Angelo Cecinato	2014	Biogenic and anthropogenic organic components of Saharan sands	Chemosphere	10.1016/j.chemosphere.2014.02.069	Tolga	34.746265	5.384097	Algeria	JAHA
Catia Balducci , Riad Ladji, Valeria Muto, Paola Romagnoli, Nourredine Yassaa, Angelo Cecinato	2014	Biogenic and anthropogenic organic components of Saharan sands	Chemosphere	10.1016/j.chemosphere.2014.02.069	Bir Naam	34.757778	5.118333	Algeria	JAHA
Catia Balducci , Riad Ladji, Valeria Muto, Paola Romagnoli, Nourredine Yassaa, Angelo Cecinato	2014	Biogenic and anthropogenic organic components of Saharan sands	Chemosphere	10.1016/j.chemosphere.2014.02.069	Oumache	34.697485	5.684989	Algeria	JAHA
Catia Balducci , Riad Ladji, Valeria Muto, Paola Romagnoli, Nourredine Yassaa, Angelo Cecinato	2014	Biogenic and anthropogenic organic components of Saharan sands	Chemosphere	10.1016/j.chemosphere.2014.02.069	Hassi Messaoud	31.827407	5.885115	Algeria	JAHA
Catia Balducci , Riad Ladji, Valeria Muto, Paola Romagnoli, Nourredine Yassaa, Angelo Cecinato	2014	Biogenic and anthropogenic organic components of Saharan sands	Chemosphere	10.1016/j.chemosphere.2014.02.069	Hassi Ben Abdallah	32.03007	5.464962	Algeria	JAHA
Catia Balducci , Riad Ladji, Valeria Muto, Paola Romagnoli, Nourredine Yassaa, Angelo Cecinato	2014	Biogenic and anthropogenic organic components of Saharan sands	Chemosphere	10.1016/j.chemosphere.2014.02.069	Rouissat	31.944569	5.36589	Algeria	JAHA
Catia Balducci , Riad Ladji, Valeria Muto, Paola Romagnoli, Nourredine Yassaa, Angelo Cecinato	2014	Biogenic and anthropogenic organic components of Saharan sands	Chemosphere	10.1016/j.chemosphere.2014.02.069	Sidi Khouiled	31.976814	5.412719	Algeria	JAHA
Youcef Benmoussa, Boualem Remini, Mohamed Remaoun	2020	Quality assessment and hydrogeochemical characteristics of groundwater in Kerzaz and Beni Abbes along Saoura valley  southwest of Algeria	Applied Water Science	doi.org/10.1007/s13201-020-01256-6	Beni-abbes	30.124229	-2.171951	Algeria	JAHA
Youcef Benmoussa, Boualem Remini, Mohamed Remaoun	2020	Quality assessment and hydrogeochemical characteristics of groundwater in Kerzaz and Beni Abbes along Saoura valley  southwest of Algeria	Applied Water Science	doi.org/10.1007/s13201-020-01256-6	Saoura	29.456133	-1.428377	Algeria	JAHA
Akkacha Bekaddour , Abdelhafid Bessaid , Fethi Tarek Bendimerad	2015	Multi Spectral Satellite Image Ensembles Classification Combining k-means, LVQ and SVM Classification Techniques	Journal of Indian Society of Remote Sensing	10.1007/s12524-014-0445-x	Ouargla oasis	31.966667	5.333333	Algeria	JAHA
Nawel Belalia, Antonio Lupini, Abderrahmane Djemel, Abdelkader Morsli, Antonio Mauceri, Concetta Lotti, Majda Khelifi-Slaoui, Lakhdar Khelifi, Francesco Sunseri	2019	Analysis of genetic diversity and population structure in Saharan maize (Zea mays L.) populations using phenotypic traits and SSR markers	Genetic Resources and Crop Evolution	10.1007/s10722-018-0709-3	Adrar	27.863963	-0.302499	Algeria	JAHA
Nawel Belalia, Antonio Lupini, Abderrahmane Djemel, Abdelkader Morsli, Antonio Mauceri, Concetta Lotti, Majda Khelifi-Slaoui, Lakhdar Khelifi, Francesco Sunseri	2019	Analysis of genetic diversity and population structure in Saharan maize (Zea mays L.) populations using phenotypic traits and SSR markers	Genetic Resources and Crop Evolution	10.1007/s10722-018-0709-3	Tamanrasset	22.782985	5.531405	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Djanet	24.551545	9.478405	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Ourlaga	31.94909	5.300479	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Timimoun	29.265622	0.222565	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Touat	27.328961	-0.220714	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Adrar	27.863963	-0.302499	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Tsabit	28.34965	-0.227575	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Biskra oasis	34.833333	5.75	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Gourara	29.262031	0.218904	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Ouled El Hadj Mamoun	27.75058	-0.232061	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Aougrout	28.69623	0.33698	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Zaouiet Kounta	27.304497	-0.22769	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Ouled Rached	29.432546	0.284532	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Hassi Ben Abdallah	32.03007	5.464962	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Aoulef	26.964488	1.071565	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	El Ksar Ain Zeghlouf-Reggane	26.716144	0.164682	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	M'ziraa	34.719328	6.282167	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Chegga	34.446942	5.88884	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Bechar	31.663373	-2.17067	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Lioua	34.621319	5.399489	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Mekkid	34.08884	3.313127	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Megarine	33.199816	6.08858	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Djamaa	33.558409	6.002825	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Doucen	34.617838	5.097116	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Sidi Okba	34.756215	5.891405	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Khangat Sidi Naji	34.817028	6.703979	Algeria	JAHA
Ines BELLIL, Mohammed CHEKARA BOUZIANI, Douadi KHELIFI 	2012	Genetic Diversity of High and Low Molecular Weight Glutenin Subunits in Saharan Bread and Durum Wheats from Algerian Oases	Czech Journal of Genetics and Plant Breeding 	10.17221/105/2011-CJGPB	Zribet El Oued	34.663335	6.513284	Algeria	JAHA
